id,name,year,glottocode,map_name_full,note
1,Atacama,traditional,kunz1244,Pueblos Indígenas,
2,Charrúa,traditional,char1240,Pueblos Indígenas,
3,Comechingón,traditional,,Pueblos Indígenas,
4,Diaguita,traditional,calc1235,Pueblos Indígenas,
5,Diaguita Calchaqui,traditional,calc1235,Pueblos Indígenas,
6,Huarpe,traditional,alle1238,Pueblos Indígenas,
7,Kolla,traditional,ayma1253,Pueblos Indígenas,
8,Kolla atacama,traditional,kunz1244,Pueblos Indígenas,
9,Kolla tastil,traditional,,Pueblos Indígenas,
10,Kolla tilián,traditional,ayma1253,Pueblos Indígenas,
11,Lule Vilela,traditional,lule1238,Pueblos Indígenas,
12,Mapuche,traditional,arau1255,Pueblos Indígenas,
13,Mapuche Tehuelche,traditional,tehu1242,Pueblos Indígenas,
14,Mapuche tehuelche,traditional,tehu1242,Pueblos Indígenas,
15,Mbyá Guarani,traditional,mbya1239,Pueblos Indígenas,
16,Mocoví,traditional,moco1246,Pueblos Indígenas,
17,Ocloya,traditional,ayma1253,Pueblos Indígenas,
18,Pilagá,traditional,pila1245,Pueblos Indígenas,
19,Qom (Toba),traditional,qomm1235,Pueblos Indígenas,
20,Rankulche (Ranquél),traditional,puel1244,Pueblos Indígenas,
21,Sanavirón,traditional,,Pueblos Indígenas,
22,Selk'n am (Ona),traditional,onaa1245,Pueblos Indígenas,
23,Tehuelche,traditional,tehu1242,Pueblos Indígenas,
24,Varios,traditional,,Pueblos Indígenas,
25,Wichí,traditional,wich1264,Pueblos Indígenas,
